City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,saint-berthevin,48.0667,-0.8333,11.98,76,0,2.06,FR,1712881042
144,mega,4.05,38.3,16.85,88,9,3.2,ET,1712881043
145,kuanda,56.3161,116.0806,-0.65,69,75,0.97,RU,1712881044
146,ataq,14.5377,46.8319,20.69,73,71,5.01,YE,1712880810
147,kisangani,0.5167,25.2,22.69,90,94,1.31,CD,1712881046
148,ghadamis,30.1337,9.5007,13.74,75,36,11.38,LY,1712881047
149,naze,28.3667,129.4833,19.85,87,71,3.91,JP,1712881048
150,chonchi,-42.6128,-73.8092,9.56,79,0,0.95,CL,1712881049
151,dingcheng,32.1272,115.0394,18.52,81,27,1.3,CN,1712881050
152,san patricio,28.017,-97.5169,27.97,31,0,4.81,US,1712881051
153,cold lake,54.4502,-110.2017,8.41,38,45,4.54,CA,1712881052
154,rosarito,32.3333,-117.0333,24.18,72,27,2.87,MX,1712881053
155,sambava,-14.2667,50.1667,23.62,97,64,0.86,MG,1712881054
156,novoazovs'k,47.1139,38.086,14.54,64,3,2.36,UA,1712881055
157,nova vicosa,-17.8919,-39.3719,26.14,82,0,2.84,BR,1712881055
158,kristiansund,63.1115,7.732,9.03,76,89,2.57,NO,1712881057
159,isafjordur,66.0755,-23.124,-3.05,94,100,12.47,IS,1712881058
160,kingston,17.997,-76.7936,27.87,76,37,1.99,JM,1712880786
161,duobao,30.67,112.6895,17.34,84,1,1.32,CN,1712881060
162,kidal,18.4411,1.4078,29.98,10,77,6.1,ML,1712881061
163,guymon,36.6828,-101.4816,18.0,29,0,5.66,US,1712881062
164,geraldton,-28.7667,114.6,21.23,64,100,3.09,AU,1712880482
165,thompson,55.7435,-97.8558,1.06,93,100,3.11,CA,1712881058
166,pandan,14.0453,124.1694,27.2,84,96,3.9,PH,1712881069
167,hami,42.8,93.45,14.2,34,2,2.7,CN,1712881070
168,salto,-31.3833,-57.9667,19.37,70,97,4.92,UY,1712880774
169,udachny,66.4167,112.4,-24.2,98,99,2.67,RU,1712881072
170,honiara,-9.4333,159.95,30.91,66,84,2.2,SB,1712881073
171,migne,46.6274,0.3146,12.06,91,0,2.57,FR,1712881074
172,crane,31.3974,-102.3501,26.0,13,0,6.51,US,1712881076
173,kruisfontein,-34.0033,24.7314,13.27,73,17,2.62,ZA,1712881078
174,lalibela,12.0333,39.0333,17.69,61,6,2.57,ET,1712881081
175,buon ma thuot,12.6667,108.05,23.09,78,99,2.38,VN,1712880987
176,severo-yeniseyskiy,60.3725,93.0408,-19.68,99,99,0.45,RU,1712881084
177,paracuru,-3.41,-39.0306,28.95,89,97,2.56,BR,1712881085
178,tamanrasset,22.785,5.5228,23.95,9,0,5.14,DZ,1712881087
179,nagqu,31.5,92.0,-3.18,60,100,3.12,CN,1712881089
180,berdigestyakh,62.0989,126.6992,-13.22,89,99,5.01,RU,1712881090
181,enewetak,11.3474,162.3373,27.05,78,91,9.57,MH,1712881094
182,sao vicente,-23.9631,-46.3919,25.71,59,88,0.45,BR,1712881095
183,puerto santa,-8.9906,-78.6456,20.61,87,67,4.6,PE,1712881096
184,georgetown,5.4112,100.3354,27.75,83,20,1.03,MY,1712881087
185,karymskoye,51.6167,114.35,5.99,62,3,1.39,RU,1712881099
186,port isabel,26.0734,-97.2086,28.04,50,0,5.14,US,1712881100
187,sola,-13.8833,167.55,28.39,79,49,5.04,VU,1712881101
188,hassi messaoud,31.6804,6.0729,13.77,59,26,4.27,DZ,1712881102
189,alo,7.4178,6.7371,28.68,76,88,4.25,NG,1712881103
190,aasiaat,68.7098,-52.8699,-6.42,95,100,2.72,GL,1712881104
191,dudinka,69.4058,86.1778,-29.62,100,88,3.58,RU,1712881105
192,luderitz,-26.6481,15.1594,21.52,47,0,1.85,NA,1712880507
193,puerto aysen,-45.4,-72.7,5.39,93,0,1.56,CL,1712881062
194,weining,26.85,104.2333,11.57,81,4,0.68,CN,1712881108
195,kodiak,57.79,-152.4072,2.73,87,100,3.6,US,1712881109
196,jindabyne,-36.4167,148.6333,14.76,59,0,0.45,AU,1712881044
197,codrington,-38.2667,141.9667,15.79,58,99,3.69,AU,1712881111
198,constantia,44.1833,28.65,17.38,64,6,2.65,RO,1712881052
199,hawaiian paradise park,19.5933,-154.9731,23.82,96,100,2.57,US,1712881113
200,la passe,45.5549,-0.8967,12.13,93,41,3.02,FR,1712881115
201,bridgewater,44.3835,-64.5155,5.62,78,100,5.14,CA,1712881116
202,nova sintra,14.8667,-24.7167,22.48,77,3,7.0,CV,1712881117
203,golere,16.2557,-14.1017,36.87,18,53,3.57,SN,1712881118
204,barroso,-21.1869,-43.9758,19.22,97,36,3.61,BR,1712881119
205,midvagur,62.0511,-7.1939,8.46,87,100,4.12,FO,1712881121
206,kirillov,59.863,38.3813,5.55,67,87,4.94,RU,1712881122
207,mili,6.0815,171.735,27.4,84,100,7.83,MH,1712880921
208,tura,25.5198,90.2201,23.14,44,62,1.78,IN,1712881124
209,dunedin,-45.8742,170.5036,9.33,93,100,1.34,NZ,1712880869
210,pionerskiy,54.9508,20.2275,12.86,96,100,9.0,RU,1712881126
211,lubartow,51.4603,22.6095,9.74,71,5,2.85,PL,1712881128
212,agat village,13.3886,144.6585,29.52,79,75,6.17,GU,1712881129
213,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,31,0,3.0,RU,1712881130
214,rawson,-43.3002,-65.1023,14.11,41,100,6.26,AR,1712881010
215,formosa,-26.1775,-58.1781,20.38,97,100,3.44,AR,1712881132
216,zambezi,-13.5432,23.1047,18.0,92,57,2.02,ZM,1712881133
217,holualoa,19.6228,-155.9522,24.91,80,100,4.63,US,1712881134
218,serhetabat,35.2799,62.3438,13.97,78,92,2.95,TM,1712880624
219,remire-montjoly,4.9167,-52.2667,27.02,89,75,3.6,GF,1712881136
220,avarua,-21.2078,-159.775,29.03,89,75,9.26,CK,1712881137
221,nemuro,43.3236,145.575,5.49,93,100,7.26,JP,1712881138
222,anadyr,64.75,177.4833,-10.72,72,0,7.0,RU,1712881139
223,wynyard,-41.0,145.7167,15.71,72,82,4.72,AU,1712881144
224,wewak,-3.5534,143.6268,28.27,79,24,1.38,PG,1712881145
225,broken hill,-31.95,141.4333,15.61,49,34,4.7,AU,1712880883
226,motygino,58.1831,94.7592,-11.23,97,100,0.89,RU,1712881148
227,kangding,30.0513,101.9603,10.9,59,80,1.74,CN,1712881151
228,n'zeto,-7.2312,12.8666,27.35,79,100,5.71,AO,1712881152
229,kiamba,5.9894,124.6242,29.47,61,56,1.54,PH,1712881153
230,salumbar,24.1333,74.05,24.44,50,46,1.35,IN,1712881154
231,atamanovka,51.93,113.63,3.24,60,28,1.12,RU,1712881155
232,khandyga,62.6667,135.6,-1.77,88,100,4.02,RU,1712881156
233,pavlovsk,50.4578,40.1081,19.41,59,89,1.91,RU,1712881157
234,east london,-33.0153,27.9116,13.84,68,24,4.79,ZA,1712880908
235,ugoofaaru,5.6667,73.0,29.39,73,86,2.5,MV,1712881160
236,ciudad tula,23.0,-99.7167,20.65,30,1,7.59,MX,1712881161
237,tubarjal,30.4999,38.216,17.77,54,0,4.17,SA,1712881163
238,palikir - national government center,6.9248,158.1611,30.47,79,100,2.06,FM,1712881164
239,puerto leguizamo,-0.1934,-74.7819,23.57,97,99,0.91,CO,1712881165
240,narrabri,-30.3167,149.7833,23.62,54,0,0.45,AU,1712881166
241,flying fish cove,-10.4217,105.6791,26.82,89,75,4.63,CX,1712880921
242,portage la prairie,49.9728,-98.2926,11.05,50,40,7.2,CA,1712881169
243,newman,37.3138,-121.0208,29.6,45,14,1.79,US,1712881170
244,pisco,-13.7,-76.2167,22.23,83,0,8.75,PE,1712880902
245,lata,40.1629,-8.3327,18.29,83,94,1.57,PT,1712881172
246,fort bragg,35.139,-79.006,21.57,93,100,5.66,US,1712881173
247,rudnichnyy,59.617,52.4703,5.02,84,11,4.8,RU,1712881174
248,margate,51.3813,1.3862,12.71,90,59,4.92,GB,1712881055
249,robit,12.0167,39.6333,20.36,69,7,1.06,ET,1712881176
250,cururupu,-1.8283,-44.8683,24.49,97,66,0.68,BR,1712881177
251,island harbour,50.724,-1.2758,11.23,90,97,2.68,GB,1712881178
252,fada,9.5667,8.3,27.2,13,57,0.91,NG,1712881180
253,kayes,14.0,-11.0,36.28,20,90,1.25,ML,1712881181
254,atkarsk,51.8718,45.0078,15.68,77,100,3.01,RU,1712881183
255,rongelap,11.1635,166.8941,26.95,78,100,8.41,MH,1712881184
256,sikonge,-5.6333,32.7667,18.5,96,87,0.61,TZ,1712881185
257,sigli,5.3848,95.9609,26.53,81,95,2.13,ID,1712881186
258,allapalli,19.4167,80.0667,25.75,50,99,0.93,IN,1712881186
259,vernon,50.2581,-119.2691,15.34,41,100,0.51,CA,1712881135
260,isla vista,34.4133,-119.861,26.86,59,1,1.35,US,1712881187
261,neiafu,-18.65,-173.9833,29.38,79,40,5.14,TO,1712881189
262,talnakh,69.4865,88.3972,-29.89,97,90,4.48,RU,1712881059
263,barranca,-10.75,-77.7667,20.29,90,60,6.33,PE,1712881191
264,contamana,-7.3333,-75.0167,25.19,89,92,1.78,PE,1712881192
265,prieska,-29.6641,22.7474,12.54,39,0,4.36,ZA,1712880904
266,edmundston,47.3737,-68.3251,5.63,81,100,5.14,CA,1712880923
267,montepuez,-13.1256,38.9997,21.38,98,100,4.01,MZ,1712881196
268,nabire,-3.3667,135.4833,25.69,88,100,0.59,ID,1712881197
269,manokwari,-0.8667,134.0833,28.22,72,89,2.15,ID,1712881198
270,yangquan,37.8575,113.5633,18.89,38,6,3.7,CN,1712881199
